Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,QualityStatus,ExclusionReason,VoxFlowLabel,Split,SpeakerID,SampleID,ClipPath,DurationSec
HeStutters,1,0,2152480,2200480,0,0,0,1,2,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_0,data\processed\clips\HeStutters_1_0.wav,3.0
HeStutters,1,4,28351360,28399360,0,0,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_4,data\processed\clips\HeStutters_1_4.wav,3.0
HeStutters,1,5,28390400,28438400,0,0,0,0,0,3,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_5,data\processed\clips\HeStutters_1_5.wav,3.0
HeStutters,1,7,28506080,28554080,0,0,0,0,0,3,1,0,0,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_7,data\processed\clips\HeStutters_1_7.wav,3.0
HeStutters,1,8,28539840,28587840,0,0,0,0,0,2,0,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_8,data\processed\clips\HeStutters_1_8.wav,3.0
HeStutters,1,10,29077440,29125440,0,0,0,2,0,1,1,0,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_10,data\processed\clips\HeStutters_1_10.wav,3.0
HeStutters,1,11,29396960,29444960,0,1,2,0,1,0,1,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_11,data\processed\clips\HeStutters_1_11.wav,3.0
HeStutters,1,12,29445280,29493280,0,0,0,0,2,0,1,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_12,data\processed\clips\HeStutters_1_12.wav,3.0
HeStutters,1,14,29571040,29619040,0,0,3,0,0,0,0,3,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_14,data\processed\clips\HeStutters_1_14.wav,3.0
HeStutters,1,15,30017440,30065440,0,0,3,0,1,0,0,1,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_15,data\processed\clips\HeStutters_1_15.wav,3.0
HeStutters,1,17,5026880,5074880,0,0,0,2,1,0,1,0,0,1,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_17,data\processed\clips\HeStutters_1_17.wav,3.0
HeStutters,1,19,30230560,30278560,0,1,0,0,0,0,0,0,3,0,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_19,data\processed\clips\HeStutters_1_19.wav,3.0
HeStutters,1,20,30284320,30332320,0,0,0,0,1,3,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_20,data\processed\clips\HeStutters_1_20.wav,3.0
HeStutters,1,27,31099040,31147040,0,0,3,1,0,0,1,0,0,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_27,data\processed\clips\HeStutters_1_27.wav,3.0
HeStutters,1,29,31224160,31272160,0,0,2,0,0,0,1,0,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_29,data\processed\clips\HeStutters_1_29.wav,3.0
HeStutters,1,32,31661920,31709920,0,0,3,0,0,0,0,3,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_32,data\processed\clips\HeStutters_1_32.wav,3.0
HeStutters,1,33,31802080,31850080,0,0,0,1,3,0,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_33,data\processed\clips\HeStutters_1_33.wav,3.0
HeStutters,1,35,31881600,31929600,0,0,1,1,2,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_35,data\processed\clips\HeStutters_1_35.wav,3.0
HeStutters,1,41,32346240,32394240,0,1,2,1,0,0,0,1,1,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_41,data\processed\clips\HeStutters_1_41.wav,3.0
HeStutters,1,42,32392000,32440000,0,0,1,1,3,1,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_42,data\processed\clips\HeStutters_1_42.wav,3.0
HeStutters,1,45,32800640,32848640,0,0,1,0,2,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_45,data\processed\clips\HeStutters_1_45.wav,3.0
HeStutters,1,50,33175200,33223200,0,0,0,1,2,0,0,1,1,2,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_50,data\processed\clips\HeStutters_1_50.wav,3.0
HeStutters,1,51,33325280,33373280,0,0,0,1,0,3,0,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_51,data\processed\clips\HeStutters_1_51.wav,3.0
HeStutters,1,52,33372160,33420160,0,0,0,0,0,0,0,0,3,2,0,0,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_52,data\processed\clips\HeStutters_1_52.wav,3.0
HeStutters,1,54,34100800,34148800,0,0,3,0,1,0,1,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_54,data\processed\clips\HeStutters_1_54.wav,3.0
HeStutters,1,56,34184480,34232480,0,1,0,0,2,0,1,0,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_56,data\processed\clips\HeStutters_1_56.wav,3.0
HeStutters,1,57,5247680,5295680,0,0,1,0,2,0,0,0,1,1,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_57,data\processed\clips\HeStutters_1_57.wav,3.0
HeStutters,1,60,34295840,34343840,0,0,1,1,2,0,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_60,data\processed\clips\HeStutters_1_60.wav,3.0
HeStutters,1,61,34837280,34885280,0,0,0,1,3,0,1,2,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_61,data\processed\clips\HeStutters_1_61.wav,3.0
HeStutters,1,63,34995840,35043840,0,0,2,1,0,0,0,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_63,data\processed\clips\HeStutters_1_63.wav,3.0
HeStutters,1,64,35047520,35095520,0,0,0,0,0,0,0,0,3,0,0,1,Valid,,Fluent,Train,HeStutters_Ep1,HeStutters_1_64,data\processed\clips\HeStutters_1_64.wav,3.0
HeStutters,1,67,35897120,35945120,0,0,0,1,2,0,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_67,data\processed\clips\HeStutters_1_67.wav,3.0
HeStutters,1,71,37078240,37126240,0,0,0,0,0,3,1,0,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_71,data\processed\clips\HeStutters_1_71.wav,3.0
HeStutters,1,77,38740320,38788320,0,0,0,2,1,0,0,0,0,0,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_77,data\processed\clips\HeStutters_1_77.wav,3.0
HeStutters,1,80,6016640,6064640,0,0,0,1,0,3,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_80,data\processed\clips\HeStutters_1_80.wav,3.0
HeStutters,1,85,39087040,39135040,0,0,0,0,0,3,0,1,0,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_85,data\processed\clips\HeStutters_1_85.wav,3.0
HeStutters,1,86,39507680,39555680,0,0,2,0,0,0,0,0,1,1,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_86,data\processed\clips\HeStutters_1_86.wav,3.0
HeStutters,1,87,39564320,39612320,0,0,0,2,0,0,0,0,1,1,0,0,Valid,,Block,Train,HeStutters_Ep1,HeStutters_1_87,data\processed\clips\HeStutters_1_87.wav,3.0
HeStutters,1,88,39631040,39679040,0,0,0,0,2,0,0,1,1,0,0,0,Valid,,Repetition,Train,HeStutters_Ep1,HeStutters_1_88,data\processed\clips\HeStutters_1_88.wav,3.0
HeStutters,1,91,39817440,39865440,0,0,2,0,1,0,0,0,0,0,0,0,Valid,,Prolongation,Train,HeStutters_Ep1,HeStutters_1_91,data\processed\clips\HeStutters_1_91.wav,3.0
